ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
CRL,40,2026-08-07,beta_hedged,0.5132563483779197,0.8020304568527918,5,0.005,267.489990234375,221787806.0,ret_5d(-0.011) | vol_63d(+0.010) | ret_10d(-0.008)
ROST,41,2026-08-07,beta_hedged,0.5127732106427138,0.7969543147208121,4,0.0,255.22999572753906,512038758.0,close_vs_sma200(+0.010) | vol_63d(-0.008) | close_vs_sma50(+0.004)
ZBRA,42,2026-08-07,beta_hedged,0.5127630486831912,0.7918781725888325,4,0.0,376.489990234375,278017981.0,vol_63d(+0.015) | ret_5d(-0.013) | vol_10d(+0.007)
WSM,43,2026-08-07,beta_hedged,0.5122837246928486,0.7868020304568528,4,0.0,251.77999877929688,209829600.0,close_vs_sma200(+0.006) | vol_63d_rank(+0.005) | vol_63d(-0.005)
TSLA,44,2026-08-07,beta_hedged,0.5111125601457768,0.7817258883248731,4,0.0,328.5799865722656,13279749404.0,vol_63d(+0.020) | ret_21d_rank(-0.011) | vol_63d_rank(+0.007)
RVTY,45,2026-08-07,beta_hedged,0.5108351550081597,0.7766497461928934,4,0.0,114.66000366210938,170184817.0,vol_63d(-0.006) | vol_63d_rank(+0.006) | amihud(+0.003)
TECH,46,2026-08-07,beta_hedged,0.510687170110172,0.7715736040609137,4,0.0,72.29000091552734,252115574.0,amihud(-0.005) | close_vs_sma200(+0.005) | vol_63d_rank(+0.005)
INCY,47,2026-08-07,beta_hedged,0.5093387392707366,0.766497461928934,4,0.0,120.55999755859375,237590569.0,close_vs_sma200(+0.009) | vol_21d(-0.006) | vol_63d(-0.005)
PANW,48,2026-08-07,beta_hedged,0.508934063994655,0.7614213197969543,4,0.0,363.8599853515625,2093795765.0,vol_63d(+0.011) | vol_63d_rank(+0.006) | ret_63d_rank(-0.006)
CMI,49,2026-08-07,beta_hedged,0.5088670217175061,0.7563451776649747,4,0.0,644.260009765625,662318529.0,vol_63d(+0.007) | vol_21d(-0.004) | ret_10d(+0.003)
WAT,50,2026-08-07,beta_hedged,0.508802636038222,0.751269035532995,4,0.0,406.8599853515625,355056486.0,close_vs_sma200(+0.005) | vol_63d_rank(+0.003) | close_vs_sma50(+0.002)
MNST,51,2026-08-07,beta_hedged,0.5086297973787207,0.7461928934010152,4,0.0,90.36000061035156,576666246.0,vol_63d(-0.008) | vol_21d(+0.002) | vol_63d_rank(+0.002)
JCI,52,2026-08-07,beta_hedged,0.5083501298345466,0.7411167512690355,4,0.0,152.2100067138672,513640485.0,vol_63d(-0.007) | vol_63d_rank(+0.006) | vol_21d(+0.003)
CSCO,53,2026-08-07,beta_hedged,0.5082848712064871,0.7360406091370558,4,0.0,121.43000030517578,2363579620.0,amihud(-0.006) | vol_63d_rank(+0.004) | ret_63d(+0.003)
NUE,54,2026-08-07,beta_hedged,0.5081921009789343,0.7309644670050761,4,0.0,272.6300048828125,351750705.0,close_vs_sma200(+0.010) | vol_63d(-0.007) | vol_21d(-0.005)
CEG,55,2026-08-07,beta_hedged,0.5078126782773872,0.7258883248730964,4,0.0,269.8900146484375,745365478.0,vol_63d(+0.009) | vol_21d(-0.004) | close_vs_sma200(-0.003)
VRT,56,2026-08-07,beta_hedged,0.5073115583538689,0.7208121827411168,4,0.0,272.3999938964844,1687842663.0,ret_5d(-0.019) | atr_pct(+0.016) | vol_10d(+0.013)
PHM,57,2026-08-07,beta_hedged,0.506263986331546,0.7157360406091371,4,0.0,132.89999389648438,237037823.0,vol_63d(-0.007) | vol_63d_rank(+0.005) | vol_21d(+0.003)
NOW,58,2026-08-07,beta_hedged,0.5061713825580888,0.7106598984771574,4,0.0,124.87999725341797,2627333784.0,vol_63d(+0.014) | ret_10d(-0.012) | ret_5d(-0.011)
DASH,59,2026-08-07,beta_hedged,0.5058874297090129,0.7055837563451777,4,0.0,216.25999450683594,730087418.0,ret_10d(-0.012) | vol_63d(+0.008) | close_vs_sma50(+0.006)
EL,60,2026-08-07,beta_hedged,0.5047428762948277,0.700507614213198,4,0.0,88.3499984741211,171904994.0,vol_63d_rank(+0.004) | close_vs_sma200(-0.004) | bb_position(-0.003)
GPC,61,2026-08-07,beta_hedged,0.5046741601173694,0.6954314720812182,4,0.0,135.6300048828125,209538297.0,vol_63d_rank(+0.004) | vol_63d(-0.004) | close_vs_sma50(+0.003)
WAB,62,2026-08-07,beta_hedged,0.5038992959675976,0.6903553299492385,4,0.0,291.80999755859375,304771873.0,close_vs_sma200(+0.010) | vol_63d(-0.007) | vol_21d(-0.005)
EBAY,63,2026-08-07,beta_hedged,0.5036236591606469,0.6852791878172588,4,0.0,111.9800033569336,470824462.0,vol_21d(-0.007) | vol_mom(+0.006) | vol_63d(-0.005)
ADI,64,2026-08-07,beta_hedged,0.5022084219656754,0.6802030456852792,4,0.0,389.92999267578125,1475778338.0,close_vs_sma200(+0.004) | ret_21d_rank(-0.004) | vol_63d(+0.004)
FSLR,65,2026-08-07,beta_hedged,0.5018087883726979,0.6751269035532995,4,0.0,250.0500030517578,510966104.0,vol_63d(+0.022) | ret_10d(-0.017) | ret_5d(-0.014)
COO,66,2026-08-07,beta_hedged,0.5014815693878539,0.6700507614213198,4,0.0,74.2300033569336,137283332.0,vol_63d(-0.007) | amihud(+0.003) | vol_21d(+0.002)
LLY,67,2026-08-07,beta_hedged,0.5014052202027178,0.6649746192893401,4,0.0,1185.7099609375,3111292915.0,vol_63d(-0.006) | vol_63d_rank(+0.002) | amihud(-0.002)
DVN,68,2026-08-07,beta_hedged,0.5011346189056787,0.6598984771573604,4,0.0,42.97999954223633,436106005.0,vol_63d(-0.007) | vol_63d_rank(+0.005) | close_vs_sma200(-0.002)
GEHC,69,2026-08-07,beta_hedged,0.5011187703763258,0.6548223350253807,4,0.0,71.7699966430664,394780557.0,ret_10d(-0.008) | vol_10d(+0.006) | close_vs_sma50(+0.005)
HAL,70,2026-08-07,beta_hedged,0.5007936412909606,0.649746192893401,4,0.0,31.889999389648438,408626201.0,vol_63d(-0.007) | mkt_breadth(-0.003) | vol_10d(+0.003)
WST,71,2026-08-07,beta_hedged,0.5006984191194379,0.6446700507614214,4,0.0,354.07000732421875,322676648.0,vol_63d(-0.007) | close_vs_sma200(+0.007) | vol_63d_rank(-0.006)
AKAM,72,2026-08-07,beta_hedged,0.5005021856763525,0.6395939086294417,4,0.0,110.54000091552734,396998910.0,vol_63d(+0.011) | vol_10d(+0.007) | ret_21d_rank(-0.005)
BDX,73,2026-08-07,beta_hedged,0.5004771957941359,0.6345177664974619,4,0.0,176.86000061035156,297903862.0,vol_63d(-0.008) | ret_10d(-0.005) | close_vs_sma50(+0.004)
REGN,74,2026-08-07,beta_hedged,0.5002650519442614,0.6294416243654822,4,0.0,784.3599853515625,571634297.0,ret_10d(-0.008) | vol_63d(-0.008) | close_vs_sma50(+0.006)
TT,75,2026-08-07,beta_hedged,0.5001614914207574,0.6243654822335025,4,0.0,482.30999755859375,612908568.0,vol_63d(-0.006) | vol_63d_rank(+0.004) | vol_21d(+0.002)
VMC,76,2026-08-07,beta_hedged,0.4997744355091414,0.6192893401015228,4,0.0,284.69000244140625,305462104.0,vol_63d(-0.005) | vol_63d_rank(+0.003) | close_vs_sma200(-0.003)
GNRC,77,2026-08-07,beta_hedged,0.4997208835562892,0.6142131979695431,4,0.0,212.22000122070312,255963971.0,vol_63d(+0.014) | vol_63d_rank(+0.005) | vol_21d(-0.005)
ROK,78,2026-08-07,beta_hedged,0.4995634999798948,0.6091370558375635,4,0.0,441.0400085449219,409080703.0,vol_21d(-0.006) | vol_63d(-0.006) | vol_63d_rank(+0.003)
CF,79,2026-08-07,beta_hedged,0.49955949904596686,0.6040609137055838,4,0.0,114.3499984741211,266435220.0,vol_21d(-0.007) | vol_63d(-0.006) | vol_63d_rank(+0.005)
EMR,80,2026-08-07,beta_hedged,0.4994320657930171,0.5989847715736041,3,0.0,158.25999450683594,444006292.0,vol_63d(-0.007) | close_vs_sma50(+0.003) | vol_10d(+0.002)
