ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
UBER,37,2026-08-25,beta_hedged,0.5148618519403917,0.8105263157894737,5,0.005128205128205128,80.3499984741211,1443584411.0,vol_63d_rank(+0.004) | close_vs_sma50(+0.003) | ret_63d(+0.003)
ORCL,38,2026-08-25,beta_hedged,0.5145947844999462,0.8052631578947368,5,0.005128205128205128,144.75999450683594,3947060823.0,vol_63d(+0.017) | mkt_breadth(-0.004) | vol_63d_rank(+0.003)
TGT,39,2026-08-25,beta_hedged,0.5144736098641699,0.8,4,0.005128205128205128,163.47000122070312,713387891.0,close_vs_sma200(+0.004) | vol_63d_rank(+0.003) | vol_63d(-0.003)
EXPE,40,2026-08-25,beta_hedged,0.513792659535838,0.7947368421052632,4,0.0,337.9700012207031,519278083.0,vol_63d(+0.004) | vol_21d(-0.003) | vol_63d_rank(+0.003)
NXPI,41,2026-08-25,beta_hedged,0.5134663878655695,0.7894736842105263,4,0.0,224.75,1015071114.0,vol_63d(+0.008) | vol_21d(-0.003) | ret_10d(+0.003)
ISRG,42,2026-08-25,beta_hedged,0.5131558789131835,0.7842105263157895,4,0.0,371.8399963378906,1077145355.0,vol_63d(+0.008) | vol_63d_rank(+0.004) | vol_21d(-0.003)
GNRC,43,2026-08-25,beta_hedged,0.5131543082110244,0.7789473684210526,4,0.0,201.77999877929688,243814450.0,vol_63d(+0.015) | vol_21d(-0.005) | vol_63d_rank(+0.003)
DHR,44,2026-08-25,beta_hedged,0.5127350117282682,0.7736842105263158,4,0.0,215.97000122070312,845839288.0,vol_63d_rank(+0.005) | close_vs_sma50(+0.003) | vol_63d(-0.002)
RL,45,2026-08-25,beta_hedged,0.5122924650703294,0.7684210526315789,4,0.0,362.6000061035156,267405841.0,vol_63d(+0.006) | ret_10d(+0.003) | vol_63d_rank(+0.003)
PNR,46,2026-08-25,beta_hedged,0.512214214983299,0.7631578947368421,4,0.0,62.459999084472656,193580311.0,vol_63d(+0.007) | vol_21d(-0.004) | vol_63d_rank(+0.003)
GEV,47,2026-08-25,beta_hedged,0.5121561257725269,0.7578947368421053,4,0.0,926.72998046875,2194869504.0,vol_63d(+0.013) | vol_63d_rank(+0.004) | ret_10d(+0.003)
CRWD,48,2026-08-25,beta_hedged,0.5120110040384739,0.7526315789473684,4,0.0,185.3800048828125,1564446868.0,vol_63d(+0.013) | vol_63d_rank(-0.007) | vol_21d(-0.003)
