ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
CDNS,39,2026-08-13,beta_hedged,0.5152716984043532,0.8051282051282052,5,0.005,323.7699890136719,849278408.0,vol_63d(+0.009) | ret_10d(+0.004) | vol_21d(-0.004)
JBL,40,2026-08-13,beta_hedged,0.5149449739773139,0.8,4,0.005,370.3599853515625,349422739.0,vol_63d_rank(+0.006) | ret_10d(-0.006) | close_vs_sma200(+0.006)
PWR,41,2026-08-13,beta_hedged,0.5145613960406369,0.7948717948717948,4,0.0,672.780029296875,740574485.0,vol_63d(+0.007) | vol_63d_rank(+0.006) | mkt_breadth(+0.004)
DXCM,42,2026-08-13,beta_hedged,0.5141271613914615,0.7897435897435897,4,0.0,91.4800033569336,446891189.0,vol_10d(+0.010) | vol_63d(+0.009) | sharpe_mom_21(-0.004)
SWKS,43,2026-08-13,beta_hedged,0.5140422841427553,0.7846153846153846,4,0.0,69.76000213623047,374426400.0,vol_63d(+0.016) | vol_63d_rank(+0.007) | ret_10d(-0.004)
TSLA,44,2026-08-13,beta_hedged,0.5131280297930098,0.7794871794871795,4,0.0,339.9599914550781,12786424646.0,vol_63d(+0.009) | vol_63d_rank(+0.006) | ret_10d(-0.004)
CRL,45,2026-08-13,beta_hedged,0.5129849916417212,0.7743589743589744,4,0.0,281.2699890136719,236524004.0,vol_63d(+0.008) | ret_10d(-0.006) | vol_63d_rank(+0.006)
WAT,46,2026-08-13,beta_hedged,0.5129004949678869,0.7692307692307693,4,0.0,413.510009765625,359739901.0,close_vs_sma200(+0.008) | vol_63d(-0.006) | close_vs_sma50(+0.002)
KLAC,47,2026-08-13,beta_hedged,0.5124887273923558,0.764102564102564,4,0.0,209.3699951171875,2415145223.0,ret_10d(-0.008) | mkt_breadth(+0.007) | atr_pct(+0.007)
JBHT,48,2026-08-13,beta_hedged,0.512373424690083,0.7589743589743589,4,0.0,282.32000732421875,298890040.0,close_vs_sma200(+0.009) | vol_63d_rank(+0.004) | vol_63d(-0.004)
EFX,49,2026-08-13,beta_hedged,0.5120715890003735,0.7538461538461538,4,0.0,185.5800018310547,313511710.0,vol_63d(+0.008) | vol_21d(-0.003) | vol_63d_rank(+0.003)
NEM,50,2026-08-13,beta_hedged,0.5116641647590705,0.7487179487179487,4,0.0,114.19000244140625,767455851.0,vol_63d(+0.006) | close_vs_sma50(+0.005) | ret_10d(-0.005)
AVGO,51,2026-08-13,beta_hedged,0.5116530787504251,0.7435897435897436,4,0.0,417.82000732421875,7207223064.0,vol_63d(+0.011) | vol_63d_rank(+0.007) | mkt_breadth(+0.004)
DASH,52,2026-08-13,beta_hedged,0.5111075766927592,0.7384615384615385,4,0.0,216.25999450683594,821500471.0,vol_63d(+0.008) | vol_21d(-0.004) | close_vs_sma50(+0.004)
GEV,53,2026-08-13,beta_hedged,0.5110672165513344,0.7333333333333333,4,0.0,1049.4200439453125,2707780945.0,vol_63d(+0.011) | mkt_breadth(+0.007) | vol_63d_rank(+0.005)
TECH,54,2026-08-13,beta_hedged,0.5105504634755079,0.7282051282051282,4,0.0,72.16999816894531,264282478.0,close_vs_sma200(+0.004) | vol_63d_rank(+0.004) | vol_63d(+0.003)
