ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
TMO,90,2026-09-02,beta_hedged,0.4997588862671245,0.5435897435897435,3,0.0,608.5399780273438,999965190.0,vol_63d(-0.005) | vol_10d(-0.002) | vol_21d(+0.002)
DECK,91,2026-09-02,beta_hedged,0.49967879974532736,0.5384615384615384,3,0.0,83.76000213623047,222968628.0,vol_63d(-0.003) | vol_21d(-0.003) | close_vs_sma200(-0.003)
EFX,92,2026-09-02,beta_hedged,0.4996783422034194,0.5333333333333333,3,0.0,185.47999572753906,195381875.0,vol_21d(-0.003) | vol_63d_rank(+0.003) | vol_63d(+0.003)
CEG,93,2026-09-02,beta_hedged,0.49957659290928996,0.5282051282051282,3,0.0,290.0400085449219,693441806.0,vol_63d(-0.004) | vol_63d_rank(+0.003) | close_vs_sma200(-0.003)
RMD,94,2026-09-02,beta_hedged,0.49938127989179115,0.5230769230769231,3,0.0,230.8699951171875,353479147.0,vol_63d(-0.004) | vol_63d_rank(+0.004) | close_vs_sma200(-0.004)
BLDR,95,2026-09-02,beta_hedged,0.4993432586349284,0.517948717948718,3,0.0,63.09000015258789,132242285.0,vol_63d(+0.007) | vol_21d(-0.005) | vol_63d_rank(+0.004)
MCK,96,2026-09-02,beta_hedged,0.49933581982181935,0.5128205128205128,3,0.0,924.780029296875,871462491.0,vol_63d(-0.004) | close_vs_sma50(+0.002) | vol_21d(-0.001)
TTD,97,2026-09-02,beta_hedged,0.49932321437044447,0.5076923076923077,3,0.0,14.550000190734863,435806085.0,vol_21d(+0.011) | ret_21d_rank(-0.008) | vol_63d(+0.007)
TEL,98,2026-09-02,beta_hedged,0.4992758322284159,0.5025641025641026,3,0.0,202.2100067138672,407954753.0,vol_63d_rank(+0.004) | vol_63d(-0.004) | close_vs_sma200(-0.003)
AOS,99,2026-09-02,beta_hedged,0.499157845580912,0.49743589743589745,3,0.0,59.2599983215332,79237309.0,vol_63d(-0.004) | close_vs_sma200(-0.002) | vol_21d(+0.002)
EOG,100,2026-09-02,beta_hedged,0.4988882497826134,0.49230769230769234,3,0.0,148.9600067138672,424428801.0,vol_63d(-0.004) | vol_63d_rank(+0.004) | vol_21d(-0.002)
NXPI,101,2026-09-02,beta_hedged,0.49878448233834155,0.48717948717948717,3,0.0,228.5,712923761.0,vol_63d_rank(+0.004) | close_vs_sma200(-0.002) | vol_63d(+0.002)
