ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
MAS,61,2026-08-11,beta_hedged,0.5100485603385665,0.6858638743455497,4,0.0,76.13999938964844,222734777.0,vol_10d(+0.009) | vol_63d(+0.006) | close_vs_sma200(-0.003)
TSLA,62,2026-08-11,beta_hedged,0.5099332930621286,0.680628272251309,4,0.0,332.80999755859375,13013480145.0,vol_63d(+0.010) | vol_63d_rank(+0.008) | ret_10d(-0.004)
RVTY,63,2026-08-11,beta_hedged,0.5076559478638956,0.675392670157068,4,0.0,115.7300033569336,171899929.0,vol_63d(-0.005) | vol_63d_rank(+0.005) | amihud(+0.002)
CRL,64,2026-08-11,beta_hedged,0.5066954931831634,0.6701570680628273,4,0.0,282.0,223626576.0,ret_10d(-0.008) | vol_63d(+0.006) | vol_63d_rank(+0.006)
CSCO,65,2026-08-11,beta_hedged,0.5065106102212781,0.6649214659685864,4,0.0,120.43000030517578,2326472281.0,amihud(-0.005) | vol_63d_rank(+0.005) | close_vs_sma200(+0.004)
TGT,66,2026-08-11,beta_hedged,0.5064502418195569,0.6596858638743456,4,0.0,152.2899932861328,500053678.0,vol_63d(-0.007) | close_vs_sma200(+0.005) | close_vs_sma50(+0.003)
ROST,67,2026-08-11,beta_hedged,0.5055191095330903,0.6544502617801047,4,0.0,251.80999755859375,503828944.0,close_vs_sma200(+0.008) | vol_63d(-0.008) | ret_63d_rank(+0.002)
COP,68,2026-08-11,beta_hedged,0.5054178599408518,0.6492146596858639,4,0.0,125.91999816894531,758663449.0,vol_63d(-0.007) | close_vs_sma50(+0.003) | close_vs_sma200(+0.002)
EL,69,2026-08-11,beta_hedged,0.505007663864677,0.643979057591623,4,0.0,87.77999877929688,177593365.0,close_vs_sma200(-0.004) | vol_63d_rank(+0.004) | vol_63d(+0.004)
INCY,70,2026-08-11,beta_hedged,0.5038835707632161,0.6387434554973822,4,0.0,121.06999969482422,237044768.0,vol_63d(-0.007) | close_vs_sma200(+0.007) | vol_63d_rank(+0.005)
RL,71,2026-08-11,beta_hedged,0.5038022798835846,0.6335078534031413,4,0.0,397.7200012207031,265876694.0,vol_63d(+0.005) | vol_63d_rank(+0.004) | vol_21d(-0.003)
WAB,72,2026-08-11,beta_hedged,0.5036569692964389,0.6282722513089005,4,0.0,298.0400085449219,323825543.0,close_vs_sma200(+0.009) | vol_63d(-0.007) | vol_21d(-0.004)
A,73,2026-08-11,beta_hedged,0.5035219529761731,0.6230366492146597,4,0.0,149.49000549316406,273650042.0,vol_63d_rank(+0.005) | vol_63d(-0.004) | close_vs_sma50(+0.003)
FTNT,74,2026-08-11,beta_hedged,0.5032182314581285,0.6178010471204188,4,0.0,161.88999938964844,902036041.0,close_vs_sma200(+0.009) | vol_21d(-0.007) | vol_63d_rank(+0.005)
JBHT,75,2026-08-11,beta_hedged,0.5029674399967216,0.612565445026178,4,0.0,265.3800048828125,303658268.0,close_vs_sma200(+0.006) | vol_63d(-0.006) | vol_21d(-0.005)
GPC,76,2026-08-11,beta_hedged,0.5025401128796854,0.6073298429319371,4,0.0,135.08999633789062,201260430.0,vol_63d(-0.005) | vol_63d_rank(+0.004) | close_vs_sma50(+0.002)
REGN,77,2026-08-11,beta_hedged,0.5024054558441479,0.6020942408376964,4,0.0,797.0,618808042.0,vol_63d(-0.007) | vol_63d_rank(+0.004) | ret_10d(-0.003)
TSCO,78,2026-08-11,beta_hedged,0.5018102104548553,0.5968586387434555,3,0.0,35.290000915527344,372176794.0,vol_63d(-0.006) | close_vs_sma200(-0.004) | vol_63d_rank(+0.004)
MDT,79,2026-08-11,beta_hedged,0.501457891981051,0.5916230366492147,3,0.0,90.68000030517578,606649838.0,vol_63d(-0.008) | close_vs_sma50(+0.004) | ret_63d_rank(+0.003)
BSX,80,2026-08-11,beta_hedged,0.5013953839639571,0.5863874345549738,3,0.0,51.189998626708984,938167792.0,vol_63d(+0.004) | close_vs_sma50(+0.004) | vol_63d_rank(+0.003)
JBL,81,2026-08-11,beta_hedged,0.5013034543736054,0.581151832460733,3,0.0,356.6099853515625,327479285.0,vol_10d(+0.010) | ret_10d(-0.009) | vol_63d_rank(+0.006)
PNR,82,2026-08-11,beta_hedged,0.501127570379471,0.5759162303664922,3,0.0,67.19000244140625,258089162.0,mkt_dispersion(+0.005) | vol_63d_rank(+0.004) | vol_63d(+0.003)
COO,83,2026-08-11,beta_hedged,0.5005175501981554,0.5706806282722513,3,0.0,76.81999969482422,141043962.0,vol_63d(-0.007) | close_vs_sma50(+0.003) | vol_21d(+0.002)
EMR,84,2026-08-11,beta_hedged,0.5004937677817525,0.5654450261780105,3,0.0,164.3800048828125,472058235.0,ret_21d_rank(-0.012) | vol_63d(-0.010) | close_vs_sma50(+0.006)
LLY,85,2026-08-11,beta_hedged,0.500425031570411,0.5602094240837696,3,0.0,1215.02001953125,3226708658.0,vol_63d(-0.007) | vol_21d(-0.005) | close_vs_sma200(+0.005)
PHM,86,2026-08-11,beta_hedged,0.5002763527904422,0.5549738219895288,3,0.0,132.4199981689453,232904968.0,vol_63d(-0.007) | vol_63d_rank(+0.004) | vol_21d(-0.002)
FFIV,87,2026-08-11,beta_hedged,0.49889094547874585,0.5497382198952879,3,0.0,414.0,331027433.0,vol_63d(-0.006) | vol_63d_rank(+0.005) | close_vs_sma200(+0.005)
ROK,88,2026-08-11,beta_hedged,0.4984350507263078,0.5445026178010471,3,0.0,447.0,424936301.0,vol_63d(-0.007) | vol_21d(-0.006) | vol_63d_rank(+0.003)
ODFL,89,2026-08-11,beta_hedged,0.4972331635935377,0.5392670157068062,3,0.0,209.44000244140625,375692547.0,vol_63d(-0.006) | vol_21d(-0.004) | vol_63d_rank(+0.002)
AOS,90,2026-08-11,beta_hedged,0.4968507437725694,0.5340314136125655,3,0.0,63.66999816894531,108424205.0,vol_63d(-0.008) | close_vs_sma200(-0.003) | vol_21d(+0.002)
CEG,91,2026-08-11,beta_hedged,0.4966070637511364,0.5287958115183246,3,0.0,278.3599853515625,746003152.0,vol_63d(+0.006) | vol_21d(-0.004) | close_vs_sma200(-0.004)
ADM,92,2026-08-11,beta_hedged,0.49647238826256523,0.5235602094240838,3,0.0,80.45999908447266,321822239.0,vol_63d(-0.009) | vol_63d_rank(-0.003) | vol_10d(+0.002)
PTC,93,2026-08-11,beta_hedged,0.4956049389116166,0.518324607329843,3,0.0,150.44000244140625,218079072.0,ret_10d(-0.008) | vol_63d(+0.007) | ret_21d_rank(+0.005)
