ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
EPAM,54,2026-08-27,beta_hedged,0.5111495011505885,0.7225130890052356,4,0.0,112.7699966430664,172850251.0,vol_63d(+0.012) | vol_63d_rank(+0.004) | mkt_dispersion(+0.003)
DHR,55,2026-08-27,beta_hedged,0.510967760705594,0.7172774869109948,4,0.0,215.67999267578125,724469346.0,vol_63d_rank(+0.006) | vol_63d(-0.004) | ret_63d(+0.003)
ORCL,56,2026-08-27,beta_hedged,0.5107699942630192,0.7120418848167539,4,0.0,151.94000244140625,3819449066.0,vol_63d(+0.015) | ret_21d_rank(-0.007) | vol_63d_rank(+0.004)
WAT,57,2026-08-27,beta_hedged,0.5106925606814352,0.7068062827225131,4,0.0,421.260009765625,361517260.0,close_vs_sma200(+0.005) | vol_63d(-0.005) | close_vs_sma50(+0.003)
ALGN,58,2026-08-27,beta_hedged,0.5105875596025289,0.7015706806282722,4,0.0,158.83999633789062,151658006.0,vol_63d(+0.005) | vol_21d(-0.004) | vol_63d_rank(+0.003)
EL,59,2026-08-27,beta_hedged,0.510182277393191,0.6963350785340314,4,0.0,106.20999908447266,327388401.0,ret_10d(-0.007) | ret_63d(+0.006) | vol_10d(+0.006)
TMO,60,2026-08-27,beta_hedged,0.5100651367746097,0.6910994764397905,4,0.0,630.7000122070312,1062819453.0,close_vs_sma200(+0.004) | vol_63d(-0.004) | close_vs_sma50(+0.003)
SWKS,61,2026-08-27,beta_hedged,0.5099447111583615,0.6858638743455497,4,0.0,67.36000061035156,325365658.0,vol_63d_rank(+0.005) | vol_63d(+0.004) | vol_21d(-0.003)
CRM,62,2026-08-27,beta_hedged,0.5096102624543402,0.680628272251309,4,0.0,252.0500030517578,2337472076.0,vol_10d(+0.008) | ret_5d(-0.008) | close_vs_sma200(+0.007)
GPC,63,2026-08-27,beta_hedged,0.5095417869285045,0.675392670157068,4,0.0,136.6999969482422,153231397.0,vol_63d_rank(+0.006) | vol_63d(-0.004) | ret_63d(+0.002)
WSM,64,2026-08-27,beta_hedged,0.5094573230821128,0.6701570680628273,4,0.0,238.39999389648438,240303070.0,close_vs_sma200(+0.006) | vol_63d(-0.004) | vol_63d_rank(+0.002)
GRMN,65,2026-08-27,beta_hedged,0.5092444805268198,0.6649214659685864,4,0.0,289.8699951171875,283070836.0,close_vs_sma200(+0.005) | vol_63d_rank(+0.005) | vol_63d(-0.004)
