ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
VRSN,63,2026-09-17,beta_hedged,0.5104506564426354,0.6787564766839378,4,0.0,302.04998779296875,195803479.0,vol_63d_rank(+0.006) | vol_63d(-0.005) | mkt_dispersion(+0.003)
AVGO,64,2026-09-17,beta_hedged,0.5103981657271529,0.6735751295336787,4,0.0,347.29998779296875,9413173128.0,vol_63d_rank(+0.004) | vol_63d(+0.004) | mkt_dispersion(+0.003)
COO,65,2026-09-17,beta_hedged,0.510382140034827,0.6683937823834197,4,0.0,53.779998779296875,220655128.0,vol_10d(+0.011) | ret_21d_rank(-0.007) | close_vs_sma200(-0.004)
TTD,66,2026-09-17,beta_hedged,0.5100890732654292,0.6632124352331606,4,0.0,14.260000228881836,238842191.0,vol_63d(+0.017) | close_vs_sma200(-0.009) | vol_63d_rank(+0.006)
AAPL,67,2026-09-17,beta_hedged,0.5098717717709441,0.6580310880829016,4,0.0,337.0,13433223580.0,vol_63d(-0.007) | close_vs_sma200(+0.006) | vol_63d_rank(+0.004)
PWR,68,2026-09-17,beta_hedged,0.5094638666723696,0.6528497409326425,4,0.0,616.5399780273438,614489473.0,vol_63d(+0.007) | vol_63d_rank(+0.006) | mkt_dispersion(+0.005)
MRK,69,2026-09-17,beta_hedged,0.5093472947206644,0.6476683937823834,4,0.0,147.14999389648438,1639814452.0,vol_63d_rank(+0.009) | vol_63d(-0.008) | close_vs_sma200(+0.007)
QCOM,70,2026-09-17,beta_hedged,0.5093469592068675,0.6424870466321243,4,0.0,188.7100067138672,1973626301.0,vol_63d_rank(+0.006) | vol_63d(+0.005) | mkt_dispersion(+0.004)
CF,71,2026-09-17,beta_hedged,0.5092069477161373,0.6373056994818653,4,0.0,133.82000732421875,353302787.0,vol_63d_rank(+0.008) | vol_63d(-0.007) | close_vs_sma200(+0.006)
TECH,72,2026-09-17,beta_hedged,0.5091638036481573,0.6321243523316062,4,0.0,72.41000366210938,179628935.0,vol_63d_rank(+0.008) | close_vs_sma200(+0.005) | vol_63d(-0.004)
NUE,73,2026-09-17,beta_hedged,0.5091344621133475,0.6269430051813472,4,0.0,265.1400146484375,344947503.0,vol_63d_rank(+0.007) | close_vs_sma200(+0.007) | vol_63d(-0.006)
ISRG,74,2026-09-17,beta_hedged,0.5085481023840027,0.6217616580310881,4,0.0,383.5400085449219,837543960.0,vol_63d_rank(+0.006) | mkt_dispersion(+0.005) | vol_63d(+0.004)
PHM,75,2026-09-17,beta_hedged,0.5083763353613739,0.616580310880829,4,0.0,118.83999633789062,163590454.0,vol_63d_rank(+0.006) | vol_63d(-0.006) | mkt_dispersion(+0.003)
PNR,76,2026-09-17,beta_hedged,0.5079433507303747,0.6113989637305699,4,0.0,55.720001220703125,233869728.0,vol_63d_rank(+0.005) | close_vs_sma200(-0.005) | vol_63d(+0.003)
PKG,77,2026-09-17,beta_hedged,0.5075177261187286,0.6062176165803109,4,0.0,235.57000732421875,148508874.0,vol_63d_rank(+0.007) | vol_63d(-0.005) | mkt_dispersion(+0.003)
RMD,78,2026-09-17,beta_hedged,0.5073983812634301,0.6010362694300518,4,0.0,228.4199981689453,304988033.0,vol_63d(-0.007) | vol_63d_rank(+0.007) | mkt_dispersion(+0.003)
EBAY,79,2026-09-17,beta_hedged,0.5071441285671998,0.5958549222797928,3,0.0,112.9000015258789,454581665.0,vol_63d_rank(+0.006) | vol_63d(-0.005) | mkt_dispersion(+0.002)
ROP,80,2026-09-17,beta_hedged,0.507132977391289,0.5906735751295337,3,0.0,374.760009765625,267512866.0,vol_63d(-0.007) | vol_63d_rank(+0.006) | mkt_dispersion(+0.002)
