ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
ROST,59,2026-08-14,beta_hedged,0.5063791349346453,0.6881720430107527,4,0.0,245.36000061035156,524084113.0,close_vs_sma200(+0.008) | vol_63d(-0.005) | sharpe_mom_63(+0.002)
NUE,60,2026-08-14,beta_hedged,0.5060833582136378,0.6827956989247311,4,0.0,268.9100036621094,369708644.0,close_vs_sma200(+0.008) | vol_63d(-0.005) | vol_21d(-0.004)
EXPE,61,2026-08-14,beta_hedged,0.5060231199031673,0.6774193548387096,4,0.0,332.69000244140625,498256197.0,close_vs_sma50(+0.005) | vol_63d_rank(+0.005) | close_vs_sma200(+0.004)
FCX,62,2026-08-14,beta_hedged,0.5048426504372404,0.6720430107526881,4,0.0,66.48999786376953,880611912.0,vol_63d(+0.011) | vol_63d_rank(+0.006) | close_vs_sma200(-0.003)
PNR,63,2026-08-14,beta_hedged,0.5042711701203988,0.6666666666666666,4,0.0,66.16000366210938,205788147.0,vol_63d(+0.005) | mkt_dispersion(+0.004) | vol_21d_rank(-0.004)
INCY,64,2026-08-14,beta_hedged,0.5042103321944104,0.6612903225806451,4,0.0,120.16000366210938,237556161.0,close_vs_sma200(+0.007) | vol_63d(-0.006) | vol_63d_rank(+0.005)
WDAY,65,2026-08-14,beta_hedged,0.5041074255883363,0.6559139784946236,4,0.0,198.67999267578125,843092642.0,vol_63d(+0.008) | atr_pct(+0.006) | ret_5d(-0.005)
LULU,66,2026-08-14,beta_hedged,0.5038943441145471,0.6505376344086021,4,0.0,119.55000305175781,298503001.0,vol_63d_rank(+0.006) | vol_63d(-0.004) | close_vs_sma200(-0.002)
EMR,67,2026-08-14,beta_hedged,0.503882844988336,0.6451612903225806,4,0.0,163.1699981689453,503263703.0,vol_63d(-0.006) | close_vs_sma50(+0.004) | close_vs_sma200(+0.002)
GPC,68,2026-08-14,beta_hedged,0.5036152589909274,0.6397849462365591,4,0.0,135.02999877929688,185873470.0,vol_63d_rank(+0.007) | vol_63d(-0.004) | close_vs_sma50(+0.002)
COP,69,2026-08-14,beta_hedged,0.5035630513598668,0.6344086021505376,4,0.0,126.77999877929688,782644169.0,vol_63d(-0.005) | close_vs_sma50(+0.003) | close_vs_sma200(+0.003)
NEM,70,2026-08-14,beta_hedged,0.5035205259518555,0.6290322580645161,4,0.0,117.76000213623047,756816044.0,close_vs_sma50(+0.007) | vol_63d(+0.006) | ret_10d(-0.005)
AKAM,71,2026-08-14,beta_hedged,0.5033632193427209,0.6236559139784946,4,0.0,124.98999786376953,459637604.0,ret_5d(-0.011) | vol_63d(+0.010) | vol_63d_rank(+0.006)
CMI,72,2026-08-14,beta_hedged,0.5030534363951962,0.6182795698924731,4,0.0,631.260009765625,678944809.0,bb_position(+0.005) | vol_63d(+0.005) | ret_10d(-0.004)
JCI,73,2026-08-14,beta_hedged,0.5015393684181191,0.6129032258064516,4,0.0,153.63999938964844,524802409.0,vol_63d(-0.005) | vol_63d_rank(+0.005) | close_vs_sma200(+0.002)
ABT,74,2026-08-14,beta_hedged,0.501333371529204,0.6075268817204301,4,0.0,111.25,1009697234.0,vol_63d(-0.006) | close_vs_sma50(+0.003) | rsi_14(+0.001)
