ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
BDX,59,2026-08-26,beta_hedged,0.5052521223772741,0.6963350785340314,4,0.0,190.2100067138672,337645382.0,vol_63d(-0.007) | close_vs_sma200(+0.006) | close_vs_sma50(+0.006)
ISRG,60,2026-08-26,beta_hedged,0.5049992360698626,0.6910994764397905,4,0.0,370.4200134277344,1036094846.0,vol_63d(+0.005) | vol_63d_rank(+0.004) | vol_21d(-0.003)
WAB,61,2026-08-26,beta_hedged,0.5046672925663875,0.6858638743455497,4,0.0,300.5400085449219,274296167.0,close_vs_sma200(+0.006) | vol_63d(-0.004) | atr_pct(-0.002)
RMD,62,2026-08-26,beta_hedged,0.5043789831230204,0.680628272251309,4,0.0,235.69000244140625,340367171.0,close_vs_sma50(+0.005) | vol_63d(-0.004) | vol_63d_rank(+0.004)
PTC,63,2026-08-26,beta_hedged,0.5041504658018131,0.675392670157068,4,0.0,151.61000061035156,207867386.0,close_vs_sma50(+0.006) | vol_21d(-0.004) | vol_63d(+0.004)
TSLA,64,2026-08-26,beta_hedged,0.5036312892208842,0.6701570680628273,4,0.0,345.82000732421875,11428791492.0,vol_63d(+0.015) | vol_21d(-0.004) | mkt_breadth(-0.004)
BKNG,65,2026-08-26,beta_hedged,0.5036143253254084,0.6649214659685864,4,0.0,208.88999938964844,1189802031.0,vol_63d(-0.005) | vol_63d_rank(+0.005) | close_vs_sma50(+0.003)
PODD,66,2026-08-26,beta_hedged,0.5035674742770745,0.6596858638743456,4,0.0,143.3800048828125,261952863.0,vol_63d(+0.006) | vol_63d_rank(+0.003) | mkt_breadth(-0.003)
STLD,67,2026-08-26,beta_hedged,0.5033553786482802,0.6544502617801047,4,0.0,235.89999389648438,309166009.0,bb_position(+0.004) | vol_21d(-0.004) | vol_63d_rank(+0.003)
ABT,68,2026-08-26,beta_hedged,0.5033253891116992,0.6492146596858639,4,0.0,114.0999984741211,875502537.0,close_vs_sma50(+0.005) | vol_63d(-0.005) | vol_21d(+0.002)
